,d_max,d_min,d_mean,LCC,wedge_count,claw_count,triangle_count,power_law_exp,gini,assortativity,clustering_coefficient,n_component
0,5.0,0.0,0.011524358302776323,11,23.0,18.0,2,3.1674134523199973,0.9962855374065431,-0.2821052631578946,0.2608695652173913,1890
1,7.0,0.0,0.07333682556312206,81,146.0,132.0,18,2.9138293257912835,0.9766968495098405,0.02353857211308105,0.3698630136986301,1806
2,9.0,0.0,0.1754845468831849,183,434.0,498.0,73,2.636150802496939,0.9520370906077262,0.1555875013517787,0.5046082949308756,1710
3,9.0,0.0,0.33001571503404925,326,877.0,1073.0,170,2.550250151150385,0.9147247374591534,0.15910403789498037,0.5815279361459521,1571
4,13.0,0.0,0.4552121529596648,410,1409.0,2099.0,271,2.3915603311692086,0.8945115529913721,0.17433019389943674,0.5770049680624556,1481
5,13.0,0.0,0.7061288632792038,580,2431.0,3990.0,483,2.283143713898985,0.8496937045045101,0.1359955044437981,0.5960510078157137,1313
6,13.0,0.0,0.9664745940282871,765,3374.0,5523.0,695,2.2419562663216155,0.7981425880261945,0.07461224536142932,0.6179608772969769,1130
7,14.0,0.0,1.2676794133053955,922,4788.0,8323.0,1044,2.1524663413471625,0.7535432423188984,0.08397525107744816,0.6541353383458647,972
8,14.0,0.0,1.531168150864327,1080,5958.0,10470.0,1268,2.0946990983711347,0.7118446267182101,0.07833903202603157,0.6384692849949648,816
9,15.0,0.0,1.7674174960712414,1228,7234.0,13496.0,1397,2.050853820998586,0.6806789540575124,0.06361196422022537,0.5793475255736799,665
10,16.0,0.0,1.895756940806705,1294,7997.0,15439.0,1461,2.035889308577212,0.6654591020472678,0.06093233341343545,0.5480805301988245,602
11,16.0,0.0,2.0817181770560502,1370,9267.0,18816.0,1572,1.9987409196952999,0.6492439199479698,0.05868708881394425,0.5089025574619618,526
12,23.0,0.0,2.7239392352016765,1498,14635.0,37705.0,2089,1.9075868647977914,0.603099286779224,0.07440588155665187,0.42822002049880425,401
13,32.0,0.0,3.7904662126767943,1766,24170.0,72698.0,3344,1.8097412995281705,0.5282311740291614,0.08357353889272126,0.4150599917252793,133
14,32.0,0.0,4.293871136720796,1889,28734.0,88661.0,4026,1.7771095977688947,0.49177352380705264,0.07424892853227892,0.42033827521403216,10
