,d_max,d_min,d_mean,LCC,wedge_count,claw_count,triangle_count,power_law_exp,gini,assortativity,clustering_coefficient,n_component
0,5.0,0.0,0.022001047668936617,11,31.0,20.0,2,3.887271867840114,0.9909700915463093,-0.2821052631578946,0.1935483870967742,1890
1,10.0,0.0,0.143530644316396,81,391.0,526.0,18,2.5944770040085405,0.9627312805649764,0.02353857211308105,0.13810741687979539,1806
2,14.0,0.0,0.34573074908328966,183,1393.0,2738.0,73,2.2028734889971324,0.9345191040843215,0.1555875013517787,0.15721464465183058,1710
3,18.0,0.0,0.6537454164484023,326,3080.0,7000.0,170,2.0321921343758618,0.8925316651220265,0.15910403789498037,0.16558441558441558,1571
4,18.0,0.0,0.9020429544264013,410,4698.0,11416.0,271,1.9565603131469718,0.8654049617649511,0.17433019389943674,0.17305236270753513,1481
5,23.0,0.0,1.4017810371922472,580,8578.0,25580.0,483,1.8678674840876974,0.8158259867310929,0.1359955044437981,0.16892049428771275,1313
6,28.0,0.0,1.9214248297537977,765,12757.0,42613.0,695,1.8305498156596967,0.7624527792074847,0.07461224536142932,0.16343968017558988,1130
7,32.0,0.0,2.5217391304347827,922,18672.0,70115.0,1044,1.7772614035262995,0.7162656151964661,0.08397525107744816,0.16773778920308482,972
8,34.0,0.0,3.0466212676794133,1080,23824.0,95942.0,1268,1.75596682303508,0.6715772245131473,0.07833903202603157,0.159670920080591,816
9,39.0,0.0,3.5191199580932424,1228,28176.0,119238.0,1397,1.7472191244490396,0.6263290213808363,0.06361196422022537,0.14874361158432708,665
10,39.0,0.0,3.7757988475641695,1294,30556.0,130461.0,1461,1.7311995179645245,0.6043122448777885,0.06093233341343545,0.14344154994109176,602
11,39.0,0.0,4.14772132006286,1370,34214.0,146469.0,1572,1.7071411237500986,0.5761439511408912,0.05868708881394425,0.13783831180218625,526
12,44.0,0.0,5.4201152435830275,1498,53729.0,265622.0,2089,1.6301113811167802,0.5380703926804322,0.07440588155665187,0.11664092017346311,401
13,53.0,0.0,7.5479308538501835,1766,94689.0,625245.0,3344,1.5781997415959272,0.46939938191968,0.08357353889272126,0.10594683648575864,133
14,68.0,1.0,8.554740701938188,1889,117142.0,874289.0,4026,1.5621082764473204,0.43733971382170167,0.07424892853227892,0.10310563248023766,10
