,d_max,d_min,d_mean,LCC,wedge_count,claw_count,triangle_count,power_law_exp,gini,assortativity,clustering_coefficient,n_component
0,6.0,1.0,1.0220010476689365,11,73.0,51.0,2,84.4989499654823,0.021333031186542728,0.7370057731460425,0.0821917808219178,1890
1,11.0,1.0,1.143530644316396,81,665.0,917.0,18,16.064605623075977,0.1208375496448939,0.7233336244374065,0.081203007518797,1806
2,15.0,1.0,1.3457307490832897,183,2053.0,4131.0,73,8.136929059104599,0.2400866518862017,0.7181298714085508,0.10667316122747199,1710
3,19.0,1.0,1.6537454164484022,326,4328.0,10080.0,170,5.03377676728048,0.3528284821261607,0.671164224349587,0.1178373382624769,1571
4,19.0,1.0,1.9020429544264013,410,6420.0,16114.0,271,4.062961686451641,0.4104178860256804,0.6571686356804521,0.12663551401869158,1481
5,24.0,1.0,2.4017810371922472,580,11254.0,34158.0,483,3.0977248589214943,0.47615056499289077,0.5519953602372462,0.12875422072152123,1313
6,29.0,1.0,2.9214248297537977,765,16425.0,55370.0,695,2.577484948747027,0.5014661635526365,0.4405823180966072,0.12694063926940638,1130
7,33.0,1.0,3.5217391304347827,922,23486.0,88787.0,1044,2.262164676700465,0.512881551622161,0.3868836904250844,0.13335604189730052,972
8,35.0,1.0,4.046621267679413,1080,29640.0,119766.0,1268,2.0676911000774085,0.5056172346625845,0.33526525750551933,0.12834008097165991,816
9,40.0,1.0,4.519119958093243,1228,34894.0,147414.0,1397,1.9322723943832123,0.487733669367852,0.2813817504781774,0.12010660858600332,665
10,40.0,1.0,4.77579884756417,1294,37764.0,161017.0,1461,1.8766910239554973,0.4777758759547108,0.26454515922375244,0.11606291706387036,602
11,40.0,1.0,5.14772132006286,1370,42132.0,180683.0,1572,1.8114069435080185,0.4642218179641373,0.24858437981484197,0.11193392195955568,526
12,45.0,1.0,6.4195914091147195,1498,64063.0,319273.0,2089,1.6876839060491509,0.4542334309832592,0.23085392110176528,0.09782557794670871,401
13,54.0,1.0,8.547407019381875,1766,109080.0,719781.0,3344,1.548519356939035,0.41445948787114695,0.1787886774287805,0.09196919691969196,133
14,69.0,2.0,9.55421686746988,1889,133452.0,991221.0,4026,1.7706154823278388,0.39154160845126884,0.1503439860335126,0.09050445103857567,10
