source,target,weight,time
338,354,1,0
354,338,1,0
354,679,1,0
679,354,1,0
375,338,1,0
338,375,1,0
370,335,1,0
335,370,1,0
370,334,1,0
334,370,1,0
379,352,1,0
352,379,1,0
379,364,1,0
364,379,1,0
379,353,1,0
353,379,1,0
379,355,1,0
355,379,1,0
374,363,1,0
363,374,1,0
397,341,1,0
341,397,1,0
388,337,1,0
337,388,1,0
388,360,1,0
360,388,1,0
388,350,1,0
350,388,1,0
388,392,1,0
392,388,1,0
386,354,1,0
354,386,1,0
386,343,1,0
343,386,1,0
386,337,1,0
337,386,1,0
386,375,1,0
375,386,1,0
386,338,1,0
338,386,1,0
373,356,1,0
356,373,1,0
392,388,1,0
388,392,1,0
406,372,1,1
372,406,1,1
406,371,1,1
371,406,1,1
406,387,1,1
387,406,1,1
437,369,1,1
369,437,1,1
437,372,1,1
372,437,1,1
437,367,1,1
367,437,1,1
437,335,1,1
335,437,1,1
437,378,1,1
378,437,1,1
437,887,1,1
887,437,1,1
437,371,1,1
371,437,1,1
418,362,1,1
362,418,1,1
436,334,1,1
334,436,1,1
412,395,1,1
395,412,1,1
416,351,1,1
351,416,1,1
433,375,1,1
375,433,1,1
420,377,1,1
377,420,1,1
420,378,1,1
378,420,1,1
420,335,1,1
335,420,1,1
404,398,1,1
398,404,1,1
409,343,1,1
343,409,1,1
409,334,1,1
334,409,1,1
409,378,1,1
378,409,1,1
409,370,1,1
370,409,1,1
427,346,1,1
346,427,1,1
431,388,1,1
388,431,1,1
431,392,1,1
392,431,1,1
411,368,1,1
368,411,1,1
424,334,1,1
334,424,1,1
424,400,1,1
400,424,1,1
424,343,1,1
343,424,1,1
424,417,1,1
417,424,1,1
424,378,1,1
378,424,1,1
429,384,1,1
384,429,1,1
429,380,1,1
380,429,1,1
429,393,1,1
393,429,1,1
429,382,1,1
382,429,1,1
438,394,1,1
394,438,1,1
426,368,1,1
368,426,1,1
423,370,1,1
370,423,1,1
401,367,1,1
367,401,1,1
401,370,1,1
370,401,1,1
402,428,1,1
428,402,1,1
441,337,1,1
337,441,1,1
441,365,1,1
365,441,1,1
441,387,1,1
387,441,1,1
417,368,1,1
368,417,1,1
417,335,1,1
335,417,1,1
417,424,1,1
424,417,1,1
422,430,1,1
430,422,1,1
430,360,1,1
360,430,1,1
430,419,1,1
419,430,1,1
430,394,1,1
394,430,1,1
430,399,1,1
399,430,1,1
410,392,1,1
392,410,1,1
403,388,1,1
388,403,1,1
419,430,1,1
430,419,1,1
419,394,1,1
394,419,1,1
432,338,1,1
338,432,1,1
432,397,1,1
397,432,1,1
432,357,1,1
357,432,1,1
527,353,1,1
353,527,1,1
527,352,1,1
352,527,1,1
527,355,1,1
355,527,1,1
527,364,1,1
364,527,1,1
513,424,1,1
424,513,1,1
513,335,1,1
335,513,1,1
513,425,1,1
425,513,1,1
513,370,1,1
370,513,1,1
513,378,1,1
378,513,1,1
521,430,1,1
430,521,1,1
521,394,1,1
394,521,1,1
520,430,1,1
430,520,1,1
520,412,1,1
412,520,1,1
540,436,1,1
436,540,1,1
536,423,1,1
423,536,1,1
536,367,1,1
367,536,1,1
536,370,1,1
370,536,1,1
536,424,1,1
424,536,1,1
536,437,1,1
437,536,1,1
536,401,1,1
401,536,1,1
536,378,1,1
378,536,1,1
510,372,1,1
372,510,1,1
546,368,1,1
368,546,1,1
518,419,1,1
419,518,1,1
518,438,1,1
438,518,1,1
532,344,1,1
344,532,1,1
543,376,1,1
376,543,1,1
535,424,1,1
424,535,1,1
535,435,1,1
435,535,1,1
535,334,1,1
334,535,1,1
517,441,1,1
441,517,1,1
538,420,1,1
420,538,1,1
538,419,1,1
419,538,1,1
511,423,1,1
423,511,1,1
511,424,1,1
424,511,1,1
522,428,1,1
428,522,1,1
539,386,1,1
386,539,1,1
525,441,1,1
441,525,1,1
547,430,1,1
430,547,1,1
529,433,1,1
433,529,1,1
530,397,1,1
397,530,1,1
530,432,1,1
432,530,1,1
514,409,1,1
409,514,1,1
514,378,1,1
378,514,1,1
514,423,1,1
423,514,1,1
534,414,1,1
414,534,1,1
534,430,1,1
430,534,1,1
534,394,1,1
394,534,1,1
519,407,1,1
407,519,1,1
524,430,1,1
430,524,1,1
531,340,1,1
340,531,1,1
531,393,1,1
393,531,1,1
550,357,1,1
357,550,1,1
550,391,1,1
391,550,1,1
523,353,1,1
353,523,1,1
523,389,1,1
389,523,1,1
533,418,1,1
418,533,1,1
533,335,1,1
335,533,1,1
475,524,1,2
524,475,1,2
475,343,1,2
343,475,1,2
475,386,1,2
386,475,1,2
475,422,1,2
422,475,1,2
475,430,1,2
430,475,1,2
475,540,1,2
540,475,1,2
475,539,1,2
539,475,1,2
488,382,1,2
382,488,1,2
470,500,1,2
500,470,1,2
470,548,1,2
548,470,1,2
470,500,1,2
500,470,1,2
490,517,1,2
517,490,1,2
477,375,1,2
375,477,1,2
478,433,1,2
433,478,1,2
498,530,1,2
530,498,1,2
498,493,1,2
493,498,1,2
498,424,1,2
424,498,1,2
489,441,1,2
441,489,1,2
489,371,1,2
371,489,1,2
489,507,1,2
507,489,1,2
509,441,1,2
441,509,1,2
483,437,1,2
437,483,1,2
483,335,1,2
335,483,1,2
483,368,1,2
368,483,1,2
483,423,1,2
423,483,1,2
483,334,1,2
334,483,1,2
483,511,1,2
511,483,1,2
483,515,1,2
515,483,1,2
483,370,1,2
370,483,1,2
483,436,1,2
436,483,1,2
485,409,1,2
409,485,1,2
485,378,1,2
378,485,1,2
485,436,1,2
436,485,1,2
485,424,1,2
424,485,1,2
485,535,1,2
535,485,1,2
472,352,1,2
352,472,1,2
472,353,1,2
353,472,1,2
472,364,1,2
364,472,1,2
494,370,1,2
370,494,1,2
480,433,1,2
433,480,1,2
480,399,1,2
399,480,1,2
480,335,1,2
335,480,1,2
493,498,1,2
498,493,1,2
493,530,1,2
530,493,1,2
493,397,1,2
397,493,1,2
493,432,1,2
432,493,1,2
482,537,1,2
537,482,1,2
482,483,1,2
483,482,1,2
497,435,1,2
435,497,1,2
469,549,1,2
549,469,1,2
469,405,1,2
405,469,1,2
469,368,1,2
368,469,1,2
501,519,1,2
519,501,1,2
473,386,1,2
386,473,1,2
473,430,1,2
430,473,1,2
473,343,1,2
343,473,1,2
473,420,1,2
420,473,1,2
505,528,1,2
528,505,1,2
505,349,1,2
349,505,1,2
471,430,1,2
430,471,1,2
502,426,1,2
426,502,1,2
502,373,1,2
373,502,1,2
479,335,1,2
335,479,1,2
479,400,1,2
400,479,1,2
479,418,1,2
418,479,1,2
507,441,1,2
441,507,1,2
507,525,1,2
525,507,1,2
507,519,1,2
519,507,1,2
507,357,1,2
357,507,1,2
481,335,1,2
335,481,1,2
481,513,1,2
513,481,1,2
481,515,1,2
515,481,1,2
481,514,1,2
514,481,1,2
481,511,1,2
511,481,1,2
486,353,1,2
353,486,1,2
486,383,1,2
383,486,1,2
486,345,1,2
345,486,1,2
499,516,1,2
516,499,1,2
474,420,1,2
420,474,1,2
474,417,1,2
417,474,1,2
474,394,1,2
394,474,1,2
474,428,1,2
428,474,1,2
495,370,1,2
370,495,1,2
500,510,1,2
510,500,1,2
467,438,1,2
438,467,1,2
491,537,1,2
537,491,1,2
491,437,1,2
437,491,1,2
491,423,1,2
423,491,1,2
491,369,1,2
369,491,1,2
491,517,1,2
517,491,1,2
491,370,1,2
370,491,1,2
491,511,1,2
511,491,1,2
579,537,1,2
537,579,1,2
579,483,1,2
483,579,1,2
579,482,1,2
482,579,1,2
585,439,1,2
