,d_max,d_min,d_mean,LCC,wedge_count,claw_count,triangle_count,power_law_exp,gini,assortativity,clustering_coefficient,n_component
0,6.0,1.0,1.0220010476689365,14.2,72.6,50.6,1.0,84.27204305189753,0.02133184980691145,0.7186062877067202,0.04110206096507466,1889.0
1,11.4,1.0,1.143530644316396,96.4,632.8,793.4,10.4,15.848161544742101,0.1206311833403841,0.706593848903603,0.04940204357408603,1802.6
2,15.2,1.0,1.3457307490832897,190.8,1935.4,3498.6,46.8,8.018607319405017,0.23923644550276174,0.7003502364084715,0.07255600044358422,1706.2
3,18.2,1.0,1.6537454164484022,334.4,4094.0,8727.6,108.4,4.964702941260614,0.35055042441875023,0.6526733817800998,0.07944290849028568,1567.2
4,19.2,1.0,1.901833420639078,424.8,6123.8,14318.8,181.2,4.016532759050699,0.407442313642322,0.6379821983806586,0.08878707867816296,1475.8
5,24.4,1.0,2.401361969617601,596.4,10690.6,30046.2,316.8,3.064299287344813,0.47085699988376745,0.5373729035785743,0.08890123004088088,1305.4
6,28.4,1.0,2.920167627029859,776.8,15609.0,48301.4,438.6,2.555996670659167,0.49477896350951606,0.44822624481590856,0.08430171059019174,1124.6
7,30.4,1.0,3.52027239392352,933.8,22244.2,76633.4,664.4,2.244334751814874,0.503912218731579,0.3866338220800671,0.08960544652460717,967.0
8,32.6,1.0,4.044316396018859,1089.4,28148.4,104376.4,805.2,2.0539220847800066,0.49553844704378813,0.33166501763791567,0.08581624162019899,811.6
9,36.8,1.0,4.516815086432688,1240.8,33069.8,126844.6,896.2,1.92026310530152,0.4759854330358964,0.28755338295780164,0.08130177681505159,660.4
10,37.2,1.0,4.773493975903615,1306.0,35861.0,139165.2,937.2,1.8657053071761542,0.46552483519647636,0.2721784469608379,0.07840231881626973,597.6
11,37.6,1.0,5.145206914614982,1382.0,39913.8,155202.4,1005.2,1.800774850525859,0.45005442733802903,0.2560579565745244,0.07555149607158791,521.6
12,42.4,1.0,6.415400733368256,1506.0,60578.0,270630.6,1331.4,1.6791205657959274,0.4388249706129853,0.2315766526661039,0.0659319850883171,397.6
13,46.4,1.0,8.542378208486118,1774.0,102178.8,585579.4,2100.4,1.541752484738172,0.39667983914428756,0.16767624130256503,0.061668156329820964,129.6
14,50.8,2.0,9.547930853850184,1897.0,123997.0,779793.2,2542.0,1.7560804418310874,0.3722895393234355,0.14978145521185457,0.06150181370663551,6.6
